hostname,disposition,sy_snum
K2-68,CANDIDATE,1
EPIC 206169157,CANDIDATE,1
EPIC 206169375,CANDIDATE,1
EPIC 206175552,CANDIDATE,1
EPIC 206192335,CANDIDATE,1
EPIC 206208956,CANDIDATE,1
EPIC 206215704,CONFIRMED,1
EPIC 206226146,CANDIDATE,1
EPIC 206260577,CANDIDATE,1
EPIC 206262341,CANDIDATE,1
EPIC 206267115,FALSE POSITIVE,1
EPIC 206268084,CANDIDATE,1
EPIC 206298289,CANDIDATE,1
EPIC 206311743,CANDIDATE,1
EPIC 206312951,CANDIDATE,1
EPIC 206315178,CANDIDATE,1
EPIC 206317286,CONFIRMED,1
EPIC 206329937,CANDIDATE,1
EPIC 206344313,CANDIDATE,1
EPIC 206358352,CANDIDATE,1
EPIC 206360885,CANDIDATE,1
EPIC 206369173,CANDIDATE,1
EPIC 206403979,CANDIDATE,1
EPIC 206414361,CANDIDATE,1
EPIC 206417197,CANDIDATE,1
EPIC 206439513,CANDIDATE,1
EPIC 206461841,CANDIDATE,1
EPIC 206468053,CANDIDATE,1
EPIC 206476150,CANDIDATE,1
EPIC 206500801,CANDIDATE,1
EPIC 206532093,CANDIDATE,1
EPIC 206535016,CANDIDATE,1
EPIC 206543223,CANDIDATE,1
EPIC 207389002,CANDIDATE,1
EPIC 207517400,FALSE POSITIVE,1
EPIC 207739861,CANDIDATE,1
EPIC 208445756,CANDIDATE,1
EPIC 208833261,CANDIDATE,1
EPIC 209036259,CANDIDATE,1
EPIC 209286622,CANDIDATE,1
EPIC 210365511,CANDIDATE,1
EPIC 210371175,CANDIDATE,1
EPIC 210384192,CANDIDATE,1
EPIC 210389383,CANDIDATE,1
EPIC 210394706,CANDIDATE,1
EPIC 210401157,FALSE POSITIVE,1
EPIC 210414957,FALSE POSITIVE,1
EPIC 210418253,CANDIDATE,1
EPIC 210423938,CANDIDATE,1
EPIC 210463428,CANDIDATE,1
EPIC 210472483,CANDIDATE,1
EPIC 210495066,CANDIDATE,1
K2-83,CANDIDATE,1
EPIC 210513446,FALSE POSITIVE,1
EPIC 210524811,CANDIDATE,1
EPIC 210550063,CANDIDATE,1
EPIC 210559259,CANDIDATE,1
EPIC 210564155,CANDIDATE,1
EPIC 210576234,CANDIDATE,1
EPIC 210598340,CANDIDATE,1
EPIC 210605073,CANDIDATE,1
EPIC 210609658,CANDIDATE,1
EPIC 210625740,CANDIDATE,1
EPIC 210626797,CANDIDATE,1
EPIC 210629082,CANDIDATE,1
EPIC 210659688,CANDIDATE,1
EPIC 210659945,CANDIDATE,1
EPIC 210664763,CANDIDATE,1
EPIC 210666756,CANDIDATE,1
EPIC 210678858,CANDIDATE,1
EPIC 210696763,CANDIDATE,1
EPIC 210706310,CANDIDATE,1
EPIC 210708830,CANDIDATE,1
EPIC 210736056,CANDIDATE,1
EPIC 210744674,FALSE POSITIVE,1
EPIC 210754505,FALSE POSITIVE,1
EPIC 210769880,CANDIDATE,1
EPIC 210775710,CANDIDATE,1
